time_ms,power_mw,power_dbm
27.3,1.3782276099906166e-13,-128.60679054126408
27.35,1.7979369205971483e-13,-127.4522554926416
27.4,7.800190033968745e-14,-131.07894816578923
27.45,1.482465534649794e-13,-128.29015394614902
27.5,6.441518243457114e-14,-131.9101175887551
27.55,1.2499203310031372e-14,-139.03117667718644
27.6,3.6913592486023875e-14,-134.32813686559052
27.65,1.0087771107870677e-13,-129.9620478049093
27.7,2.2040270476687452e-14,-136.56783080155458
27.75,7.08986966504639e-14,-131.49361748494147
27.8,5.114303597870267e-15,-142.91213494736317
27.85,2.02916171799572e-13,-126.9268333964265
27.9,2.207904613300481e-13,-126.56019693085993
27.95,4.957255103789685e-14,-133.0475873142419
28.0,4.1265032214326224e-15,-143.84417811514317
28.05,1.2248085090090923e-14,-139.11931805161805
28.1,6.560025415313106e-14,-131.83094478046772
28.15,3.838842392001626e-14,-134.15799717965714
28.2,7.878214055082505e-14,-131.03572223364625
28.25,3.6624847835371296e-14,-134.3622417098994
28.3,9.00325271748422e-15,-140.4560055922253
28.35,2.573751668860551e-13,-125.89433358770535
